index,true_label,pred_label,final_confidence,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,3.1,3.2,3.3
1,1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2,1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
3,1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
4,0,0,0.45666666666666667,0.4,0.6,0.9,0.8,0.9,0.2,0.2,0.2,0.1,0.3,0.1
5,0,0,0.595,0.95,0.9,0.95,0.9,0.95,0.1,0.1,0.1,0.9,0.9,0.9
6,0,0,0.53,0.8,0.85,0.9,0.85,0.3,0.2,0.2,0.2,0.9,0.6,0.9
7,0,0,0.37999999999999995,0.3,0.4,0.6,0.5,0.2,0.4,0.3,0.2,0.3,0.8,0.7
8,1,1,0.11000000000000001,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
9,0,0,0.8183333333333334,0.95,0.9,0.85,0.9,0.95,0.9,0.8,0.4,1.0,0.9,0.6
10,1,0,0.44000000000000006,0.9,0.8,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0
11,0,0,0.4533333333333333,0.6,0.3,0.9,0.8,0.9,0.2,0.2,0.2,0.2,0.3,0.2
12,0,0,0.8050000000000002,0.9,0.85,0.9,0.85,0.95,0.9,0.8,0.4,0.8,0.8,0.8
13,0,0,0.5816666666666667,0.7,0.9,0.9,0.8,0.9,0.2,0.2,0.2,0.8,0.85,0.8
14,0,0,0.5399999999999999,0.8,0.6,0.9,0.85,0.95,0.1,0.1,0.1,0.9,0.9,0.9
15,0,0,0.55,0.8,0.7,0.9,0.85,0.95,0.1,0.1,0.1,0.9,0.9,0.9
16,1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
17,0,0,0.7166666666666667,0.95,0.9,0.95,0.85,0.95,0.9,0.4,0.3,0.2,0.9,0.2
18,1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
19,0,0,0.5816666666666667,0.9,0.85,0.95,0.9,0.95,0.1,0.1,0.1,0.9,0.9,0.8
20,0,0,0.51,0.95,0.9,0.95,0.95,0.95,0.1,0.1,0.1,0.0,0.0,0.0
21,0,0,0.4616666666666666,0.9,0.75,0.9,0.85,0.95,0.0,0.0,0.0,0.0,0.8,0.0
22,0,0,0.8216666666666667,0.95,0.85,0.9,0.9,0.95,0.9,0.8,0.4,0.9,0.9,0.8
23,0,0,0.5516666666666666,0.8,0.9,0.9,0.85,0.9,0.3,0.2,0.2,0.2,0.3,0.2
24,1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
25,0,0,0.745,0.9,0.85,0.9,0.95,0.95,0.9,0.6,0.3,0.4,0.8,0.3
26,0,0,0.87,0.9,0.8,0.9,0.7,0.9,0.9,0.9,0.9,0.9,0.9,0.9
27,1,1,0.16333333333333333,0.2,0.1,0.1,0.4,0.2,0.1,0.1,0.1,0.2,0.3,0.2
28,0,0,0.5700000000000001,0.9,0.8,0.9,0.9,0.9,0.1,0.1,0.1,0.9,0.9,0.9
29,1,1,0.11000000000000001,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
30,1,1,0.11000000000000001,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1
31,1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
32,1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
33,0,0,0.5383333333333333,0.6,0.8,0.9,0.85,0.9,0.3,0.2,0.2,0.2,0.8,0.2
34,0,1,0.20333333333333337,0.2,0.3,0.2,0.3,0.1,0.3,0.1,0.2,0.1,0.2,0.1
35,1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
36,0,0,0.8866666666666667,0.9,0.9,0.95,0.9,0.95,0.9,0.8,0.9,0.8,0.9,0.7
37,1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
38,1,1,0.15000000000000002,0.2,0.1,0.2,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.1
39,1,1,0.14,0.2,0.1,0.3,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1
40,1,1,0.14333333333333334,0.2,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.3,0.2
41,1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
42,0,0,0.52,0.6,0.8,0.9,0.7,0.9,0.3,0.3,0.3,0.1,0.1,0.1
