index,true_label,pred_label,final_confidence,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,3.1,3.2,3.3
1,1,0,0.25,0.3,0.3,0.3,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,0.05000000000000001,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0
3,1,0,0.2,0.3,0.2,0.5,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0,0.51,0.6,0.8,0.9,0.7,0.9,0.3,0.2,0.2,0.0,0.8,0.0
5,0,0,0.5583333333333333,0.95,0.9,0.95,0.95,1.0,0.0,0.0,0.0,0.9,0.9,0.7
6,0,0,0.42666666666666664,0.6,0.8,0.9,0.8,0.9,0.0,0.0,0.0,0.0,0.8,0.0
7,0,0,0.33666666666666667,0.3,0.4,0.5,0.6,0.2,0.3,0.2,0.1,0.3,0.8,0.6
8,1,1,0.15,0.2,0.1,0.3,0.2,0.1,0.2,0.1,0.1,0.0,0.2,0.0
9,0,0,0.81,0.95,0.75,0.9,0.85,0.95,0.9,0.8,0.4,1.0,0.9,0.8
10,1,0,0.44000000000000006,0.9,0.8,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0
11,0,0,0.7333333333333334,0.4,0.3,0.9,0.8,0.9,0.9,0.9,0.9,0.2,0.9,0.2
12,0,0,0.83,0.9,0.85,0.9,0.95,1.0,0.9,0.4,0.8,0.9,0.9,0.9
13,0,0,0.53,0.8,0.9,0.9,0.9,0.9,0.0,0.0,0.0,0.9,0.9,0.9
14,0,0,0.4,0.6,0.4,0.5,0.7,0.9,0.0,0.0,0.0,0.9,0.9,0.9
15,0,0,0.39,0.8,0.5,0.9,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,0,0.565,0.95,0.9,0.95,0.95,1.0,0.0,0.0,0.0,0.9,0.9,0.9
18,1,1,0.06000000000000001,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
19,0,0,0.47666666666666674,0.8,0.9,0.9,0.8,1.0,0.0,0.0,0.0,0.0,0.8,0.3
20,0,0,0.47000000000000003,0.95,0.9,0.95,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0
21,0,0,0.43499999999999994,0.9,0.75,0.9,0.85,0.95,0.0,0.0,0.0,0.0,0.0,0.0
22,0,0,0.8516666666666668,1.0,0.9,0.95,0.9,1.0,0.9,0.8,0.6,0.3,0.9,0.9
23,0,0,0.6066666666666667,0.8,0.9,0.9,0.9,0.9,0.3,0.2,0.1,0.9,0.8,0.9
24,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0,0,0.7366666666666666,0.9,0.85,0.9,0.95,1.0,1.0,0.8,0.0,0.2,0.6,0.3
26,0,0,0.895,0.9,0.8,0.9,0.85,1.0,0.9,0.9,0.9,0.9,0.9,0.9
